team,champion,final,sf,qf,r16,r32
Argentina,0.22,0.344,0.474,0.652,0.849,1.0
Belgium,0.102,0.195,0.332,0.562,0.717,1.0
Morocco,0.096,0.179,0.295,0.439,0.609,1.0
Spain,0.072,0.136,0.235,0.396,0.619,1.0
Germany,0.052,0.109,0.202,0.412,0.801,1.0
France,0.051,0.106,0.212,0.407,0.727,1.0
Portugal,0.051,0.097,0.198,0.401,0.675,1.0
England,0.047,0.105,0.214,0.407,0.66,1.0
Japan,0.034,0.07,0.146,0.291,0.532,1.0
Brazil,0.033,0.069,0.144,0.27,0.468,1.0
Colombia,0.032,0.072,0.157,0.337,0.611,1.0
Ivory Coast,0.031,0.056,0.141,0.269,0.576,1.0
Austria,0.025,0.056,0.118,0.249,0.424,1.0
Algeria,0.021,0.047,0.093,0.186,0.308,0.666
Mexico,0.018,0.038,0.138,0.258,0.583,1.0
Iran,0.016,0.041,0.075,0.131,0.329,0.486
Netherlands,0.016,0.041,0.099,0.238,0.391,1.0
Norway,0.014,0.034,0.086,0.209,0.441,1.0
Ecuador,0.013,0.027,0.072,0.19,0.442,0.982
Switzerland,0.009,0.037,0.079,0.231,0.556,1.0
Egypt,0.009,0.017,0.048,0.118,0.411,0.744
South Korea,0.007,0.02,0.057,0.124,0.404,0.988
Canada,0.006,0.021,0.064,0.187,0.506,1.0
Scotland,0.005,0.012,0.027,0.096,0.237,0.824
United States,0.004,0.012,0.058,0.159,0.589,1.0
Australia,0.004,0.009,0.033,0.109,0.364,0.989
Senegal,0.003,0.012,0.037,0.094,0.216,0.574
Congo DR,0.002,0.01,0.032,0.084,0.236,0.583
Uruguay,0.002,0.003,0.014,0.045,0.093,0.487
South Africa,0.001,0.003,0.013,0.037,0.148,0.355
Sweden,0.001,0.003,0.021,0.098,0.376,0.999
Croatia,0.001,0.007,0.036,0.111,0.4,1.0
Turkey,0.001,0.002,0.009,0.021,0.041,0.11
Saudi Arabia,0.001,0.002,0.004,0.022,0.061,0.356
Paraguay,0.0,0.007,0.022,0.083,0.244,0.7
Cape Verde,0.0,0.001,0.002,0.016,0.072,0.591
Iraq,0.0,0.0,0.001,0.004,0.006,0.045
Ghana,0.0,0.0,0.0,0.007,0.043,0.369
Uzbekistan,0.0,0.0,0.006,0.017,0.045,0.182
New Zealand,0.0,0.0,0.001,0.007,0.05,0.213
Bosnia and Herzegovina,0.0,0.0,0.002,0.007,0.059,0.329
Qatar,0.0,0.0,0.003,0.019,0.081,0.428
